Country,Continent,noRecords,Devices,Tests,uSpeed,dSpeed,latMs,avgPop,rankUpload,rankDownload,rankLatency
Kiribati,Oceania,4,4,5,2017,7534,779,92003,231,220,4
"Korea, Democratic People's Republic of",Asia,16,18,38,44030,85176,30,23615611,56,57,111
"Korea, Republic of",Asia,15675,48382,149041,141632,185013,10,47869837,8,7,222
Kuwait,Asia,2093,18465,55285,27900,140862,20,2700,81,20,148
Kyrgyzstan,Asia,2570,7075,19003,39095,36566,18,5203547,61,110,163
Lao People's Democratic Republic,Asia,3660,12732,30963,34938,38155,12,566391,65,107,209
Latvia,Europe,7638,23590,75234,51148,69002,22,2301793,48,72,141
Lebanon,Asia,6630,37683,133799,7899,11323,36,401074,183,202,93
Lesotho,Africa,113,191,641,12628,15426,32,1980831,143,176,106
Liberia,Africa,115,351,2143,12078,12383,51,3441796,146,192,53
Libyan Arab Jamahiriya,Africa,5818,14417,43835,9358,14853,42,5918217,165,179,72
Liechtenstein,Europe,221,945,2861,122344,148107,7,34598,15,18,233
Lithuania,Europe,8194,24166,70532,80323,90101,16,3425077,29,51,181
Luxembourg,Europe,2483,12364,35085,92982,148603,11,456613,22,17,219
Macau,Asia,35,12631,58661,161288,190042,7,47309,4,6,233
Madagascar,Africa,393,809,2059,26976,27912,28,18642586,86,137,117
Malawi,Africa,196,348,778,8373,11607,49,13226091,180,201,57
Malaysia,Asia,35156,484258,1427967,42365,89954,20,25652985,57,52,148
Maldives,Asia,45,1298,2876,13613,16416,14,295297,140,170,195
Mali,Africa,495,1529,5030,5989,21816,47,1161109,205,149,61
Malta,Europe,701,11321,29794,23692,121707,13,402617,97,39,206
